id,title,magnitude,date-time,date-label,latitude,longitude,depth,region,url-usgs
us7000lt27,"M 4.6 - 122 km WNW of Aykol, China",4.6,2024-01-22 23:03:25.504,22-01-2024 23:03,41.336,78.7655,7.409,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt27
us7000lt25,"M 4.4 - 131 km WNW of Aykol, China",4.4,2024-01-22 22:56:41.684,22-01-2024 22:56,41.241,78.6174,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt25
us7000lt23,"M 4.4 - 132 km WNW of Aykol, China",4.4,2024-01-22 22:40:26.351,22-01-2024 22:40,41.224,78.6032,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt23
us7000lt1x,"M 5.4 - 84 km WSW of Coquimbo, Chile",5.4,2024-01-22 22:30:11.367,22-01-2024 22:30,-30.1991,-72.1731,10.0,Chile,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt1x
us7000lt1u,"M 4.2 - 129 km W of Aykol, China",4.2,2024-01-22 22:20:04.138,22-01-2024 22:20,41.1837,78.6216,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt1u
us7000lt1m,"M 4.3 - 126 km SSE of Kyzyl-Suu, Kyrgyzstan",4.3,2024-01-22 22:09:00.188,22-01-2024 22:09,41.3363,78.7099,10.0,Kyrgyzstan,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt1m
us7000lt1k,"M 4.5 - 61 km SSW of Champerico, Guatemala",4.5,2024-01-22 22:05:08.235,22-01-2024 22:05,13.7626,-92.0903,34.469,Guatemala,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt1k
us7000lu3c,"M 4.3 - 58 km SSW of Champerico, Guatemala",4.3,2024-01-22 21:54:36.632,22-01-2024 21:54,13.7916,-92.0689,21.626,Guatemala,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu3c
us7000lt1e,"M 4.6 - 57 km SSW of Champerico, Guatemala",4.6,2024-01-22 21:52:54.093,22-01-2024 21:52,13.8003,-92.0793,35.251,Guatemala,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt1e
us7000m11a,"M 4.1 - 126 km WNW of Aykol, China",4.1,2024-01-22 21:50:44.744,22-01-2024 21:50,41.3089,78.6998,2.598,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m11a
us7000lu3d,"M 4.5 - 128 km SSE of Kyzyl-Suu, Kyrgyzstan",4.5,2024-01-22 21:49:15.709,22-01-2024 21:49,41.2838,78.6414,9.645,Kyrgyzstan,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu3d
us7000lt1d,"M 5.2 - 122 km WNW of Aykol, China",5.2,2024-01-22 21:43:05.717,22-01-2024 21:43,41.2285,78.7236,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt1d
us7000lt1a,"M 4.5 - 113 km WNW of Aykol, China",4.5,2024-01-22 21:38:36.584,22-01-2024 21:38,41.3296,78.8771,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt1a
us7000lu3q,"M 4.2 - 128 km WNW of Aykol, China",4.2,2024-01-22 21:25:43.445,22-01-2024 21:25,41.2177,78.6482,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu3q
us7000lu39,"M 4.3 - 134 km S of Modisi, Indonesia",4.3,2024-01-22 21:25:14.810,22-01-2024 21:25,-0.7631,124.3421,80.582,Indonesia,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu39
us7000lu38,"M 4.2 - 134 km W of Aykol, China",4.2,2024-01-22 21:21:02.786,22-01-2024 21:21,41.121,78.5479,9.296,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu38
us7000lt16,"M 4.9 - 131 km WNW of Aykol, China",4.9,2024-01-22 21:16:44.640,22-01-2024 21:16,41.2049,78.6,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt16
us7000lu37,"M 4.0 - 135 km SSE of Kyzyl-Suu, Kyrgyzstan",4.0,2024-01-22 21:12:42.390,22-01-2024 21:12,41.1809,78.5201,6.97,Kyrgyzstan,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu37
us7000lu36,"M 4.2 - 127 km WNW of Aykol, China",4.2,2024-01-22 21:04:18.933,22-01-2024 21:04,41.2691,78.6723,6.728,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu36
us7000lt11,"M 4.6 - 118 km WNW of Aykol, China",4.6,2024-01-22 20:57:13.124,22-01-2024 20:57,41.3163,78.8111,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt11
us7000lu35,"M 4.1 - 128 km SSE of Kyzyl-Suu, Kyrgyzstan",4.1,2024-01-22 20:48:35.535,22-01-2024 20:48,41.2936,78.6642,10.0,Kyrgyzstan,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu35
us7000lt0u,"M 4.9 - 123 km WNW of Aykol, China",4.9,2024-01-22 20:29:31.005,22-01-2024 20:29,41.255,78.7239,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt0u
us7000lu3l,"M 4.1 - 130 km W of Aykol, China",4.1,2024-01-22 20:08:46.558,22-01-2024 20:08,41.1415,78.6075,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu3l
us7000lu32,"M 4.4 - 293 km SSE of Port Blair, India",4.4,2024-01-22 20:07:23.967,22-01-2024 20:07,9.322,93.9969,10.0,India,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu32
us7000lu33,"M 4.2 - 128 km WNW of Aykol, China",4.2,2024-01-22 19:59:53.368,22-01-2024 19:59,41.216,78.6498,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu33
us7000lu40,"M 4.7 - 126 km WNW of Aykol, China",4.7,2024-01-22 19:40:36.529,22-01-2024 19:40,41.2429,78.6727,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu40
us7000lt0j,"M 5.5 - 128 km WNW of Aykol, China",5.5,2024-01-22 19:36:47.834,22-01-2024 19:36,41.2085,78.6438,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt0j
us7000lu31,"M 4.3 - 130 km WNW of Aykol, China",4.3,2024-01-22 19:31:49.102,22-01-2024 19:31,41.2543,78.6301,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu31
us7000lu2x,"M 4.3 - Bonin Islands, Japan region",4.3,2024-01-22 19:29:07.041,22-01-2024 19:29,27.3387,143.133,10.0,Japan region,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu2x
us7000lu30,"M 4.3 - 134 km W of Aykol, China",4.3,2024-01-22 19:21:10.621,22-01-2024 19:21,41.1729,78.5641,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu30
us7000lu2y,"M 4.4 - 128 km W of Aykol, China",4.4,2024-01-22 19:20:20.794,22-01-2024 19:20,41.1798,78.6301,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu2y
us7000lu2z,"M 4.2 - 115 km WNW of Aykol, China",4.2,2024-01-22 19:17:10.555,22-01-2024 19:17,41.3479,78.8597,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu2z
us7000lt0d,"M 4.7 - 13 km N of Jordán, Colombia",4.7,2024-01-22 19:05:50.061,22-01-2024 19:05,6.8566,-73.0861,152.431,Colombia,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt0d
us7000lt09,"M 4.8 - 124 km WNW of Aykol, China",4.8,2024-01-22 18:50:43.143,22-01-2024 18:50,41.3654,78.7512,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt09
us7000lu3b,"M 4.3 - 127 km WNW of Aykol, China",4.3,2024-01-22 18:49:28.763,22-01-2024 18:49,41.1949,78.6566,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu3b
us7000lt02,"M 5.4 - 124 km WNW of Aykol, China",5.4,2024-01-22 18:42:33.209,22-01-2024 18:42,41.3408,78.7444,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lt02
us7000lu2v,"M 4.6 - 126 km WNW of Aykol, China",4.6,2024-01-22 18:39:02.968,22-01-2024 18:39,41.247,78.6748,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu2v
us7000lu2u,"M 4.4 - 119 km WNW of Aykol, China",4.4,2024-01-22 18:36:31.436,22-01-2024 18:36,41.3356,78.8085,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu2u
us7000lszy,"M 5.0 - 137 km W of Aykol, China",5.0,2024-01-22 18:32:41.383,22-01-2024 18:32,41.1517,78.5204,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lszy
us7000lu3y,"M 4.7 - 129 km W of Aykol, China",4.7,2024-01-22 18:30:08.823,22-01-2024 18:30,41.1614,78.6242,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu3y
us7000lu2t,"M 4.9 - 125 km WNW of Aykol, China",4.9,2024-01-22 18:29:23.210,22-01-2024 18:29,41.1935,78.678,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu2t
us7000lu3a,"M 4.6 - 132 km W of Aykol, China",4.6,2024-01-22 18:27:22.563,22-01-2024 18:27,41.1176,78.569,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lu3a
